date,verdict,excess_cagr_pp
2026-06-22,信号真·风险取舍：方向同号 4/4 段(其中 3 段优势≥5pp；早段约3pp接近噪声、强度随期递增)；裸 overlay 让出 3.18pp 年化，换 Sharpe 0.94 vs 0.84、回撤 -29.5% vs -36.4%(浅 6.9pp)——但属单一历史路径、无置信区间，可能不重复。要风险调整收益的可参考，要最大绝对收益的死拿更好,-3.18
2026-06-23,信号真·风险取舍：方向同号 4/4 段(其中 3 段优势≥5pp；早段约3pp接近噪声、强度随期递增)；裸 overlay 让出 2.85pp 年化，换 Sharpe 0.94 vs 0.83、回撤 -29.5% vs -36.4%(浅 6.9pp)——但属单一历史路径、无置信区间，可能不重复。要风险调整收益的可参考，要最大绝对收益的死拿更好,-2.85
2026-06-24,信号真·风险取舍：方向同号 4/4 段(其中 3 段优势≥5pp；早段约3pp接近噪声、强度随期递增)；裸 overlay 让出 3.04pp 年化，换 Sharpe 0.94 vs 0.84、回撤 -29.5% vs -36.4%(浅 6.9pp)——但属单一历史路径、无置信区间，可能不重复。要风险调整收益的可参考，要最大绝对收益的死拿更好,-3.04
2026-06-26,信号真·风险取舍：方向同号 4/4 段(其中 3 段优势≥5pp；早段约3pp接近噪声、强度随期递增)；裸 overlay 让出 2.71pp 年化，换 Sharpe 0.94 vs 0.82、回撤 -29.5% vs -36.4%(浅 6.9pp)——但属单一历史路径、无置信区间，可能不重复。要风险调整收益的可参考，要最大绝对收益的死拿更好。已对照纳指自身20日动量(同口径差 9.9pp)：BTC 多给约 3.2pp 增量、不只是大盘动量代理,-2.71
2026-06-29,信号真·风险取舍：方向同号 4/4 段(其中 3 段优势≥5pp；早段约3pp接近噪声、强度随期递增)；裸 overlay 让出 2.82pp 年化，换 Sharpe 0.94 vs 0.83、回撤 -29.5% vs -36.4%(浅 6.9pp)——但属单一历史路径、无置信区间，可能不重复。要风险调整收益的可参考，要最大绝对收益的死拿更好。已对照纳指自身20日动量(同口径差 9.8pp)：BTC 多给约 3.3pp 增量、不只是大盘动量代理,-2.82
2026-06-30,信号真·风险取舍：方向同号 4/4 段(其中 3 段优势≥5pp；早段约3pp接近噪声、强度随期递增)；裸 overlay 让出 3.01pp 年化，换 Sharpe 0.94 vs 0.83、回撤 -29.5% vs -36.4%(浅 6.9pp)——但属单一历史路径、无置信区间，可能不重复。要风险调整收益的可参考，要最大绝对收益的死拿更好。已对照纳指自身20日动量(同口径差 9.7pp)：BTC 多给约 3.5pp 增量、不只是大盘动量代理,-3.01
2026-07-01,信号真·风险取舍：方向同号 4/4 段(其中 3 段优势≥5pp；早段约3pp接近噪声、强度随期递增)；裸 overlay 让出 3.05pp 年化，换 Sharpe 0.94 vs 0.84、回撤 -29.5% vs -36.4%(浅 6.9pp)——但属单一历史路径、无置信区间，可能不重复。要风险调整收益的可参考，要最大绝对收益的死拿更好。已对照纳指自身20日动量(同口径差 9.6pp)：BTC 多给约 3.7pp 增量、不只是大盘动量代理,-3.05
2026-07-02,信号真·风险取舍：方向同号 4/4 段(其中 3 段优势≥5pp；早段约3pp接近噪声、强度随期递增)；裸 overlay 让出 2.92pp 年化，换 Sharpe 0.94 vs 0.83、回撤 -29.5% vs -36.4%(浅 6.9pp)——但属单一历史路径、无置信区间，可能不重复。要风险调整收益的可参考，要最大绝对收益的死拿更好。已对照纳指自身20日动量(同口径差 9.4pp)：BTC 多给约 3.9pp 增量、不只是大盘动量代理,-2.92
2026-07-03,信号真·风险取舍：方向同号 4/4 段(其中 3 段优势≥5pp；早段约3pp接近噪声、强度随期递增)；裸 overlay 让出 2.91pp 年化，换 Sharpe 0.94 vs 0.83、回撤 -29.5% vs -36.4%(浅 6.9pp)——但属单一历史路径、无置信区间，可能不重复。要风险调整收益的可参考，要最大绝对收益的死拿更好。已对照纳指自身20日动量(同口径差 9.4pp)：BTC 多给约 3.9pp 增量、不只是大盘动量代理,-2.91
2026-07-07,信号真·风险取舍：方向同号 4/4 段(其中 3 段优势≥5pp；早段约3pp接近噪声、强度随期递增)；裸 overlay 让出 2.91pp 年化，换 Sharpe 0.94 vs 0.83、回撤 -29.5% vs -36.4%(浅 6.9pp)——但属单一历史路径、无置信区间，可能不重复。要风险调整收益的可参考，要最大绝对收益的死拿更好。已对照纳指自身20日动量(同口径差 9.4pp)：BTC 多给约 3.9pp 增量、不只是大盘动量代理,-2.91
2026-07-08,信号真·风险取舍：方向同号 4/4 段(其中 3 段优势≥5pp；早段约3pp接近噪声、强度随期递增)；裸 overlay 让出 2.9pp 年化，换 Sharpe 0.93 vs 0.83、回撤 -29.5% vs -36.4%(浅 6.9pp)——但属单一历史路径、无置信区间，可能不重复。要风险调整收益的可参考，要最大绝对收益的死拿更好。已对照纳指自身20日动量(同口径差 9.4pp)：BTC 多给约 4.0pp 增量、不只是大盘动量代理,-2.9
2026-07-09,信号真·风险取舍：方向同号 4/4 段(其中 3 段优势≥5pp；早段约3pp接近噪声、强度随期递增)；裸 overlay 让出 2.91pp 年化，换 Sharpe 0.94 vs 0.83、回撤 -29.5% vs -36.4%(浅 6.9pp)——但属单一历史路径、无置信区间，可能不重复。要风险调整收益的可参考，要最大绝对收益的死拿更好。已对照纳指自身20日动量(同口径差 9.4pp)：BTC 多给约 4.0pp 增量、不只是大盘动量代理,-2.91
2026-07-10,信号真·风险取舍：方向同号 4/4 段(其中 3 段优势≥5pp；早段约3pp接近噪声、强度随期递增)；裸 overlay 让出 2.91pp 年化，换 Sharpe 0.94 vs 0.84、回撤 -29.5% vs -36.4%(浅 6.9pp)——但属单一历史路径、无置信区间，可能不重复。要风险调整收益的可参考，要最大绝对收益的死拿更好。已对照纳指自身20日动量(同口径差 9.4pp)：BTC 多给约 3.9pp 增量、不只是大盘动量代理,-2.91
2026-07-13,信号真·风险取舍：方向同号 4/4 段(其中 3 段优势≥5pp；早段约3pp接近噪声、强度随期递增)；裸 overlay 让出 2.91pp 年化，换 Sharpe 0.94 vs 0.83、回撤 -29.5% vs -36.4%(浅 6.9pp)——但属单一历史路径、无置信区间，可能不重复。要风险调整收益的可参考，要最大绝对收益的死拿更好。已对照纳指自身20日动量(同口径差 9.4pp)：BTC 多给约 3.9pp 增量、不只是大盘动量代理,-2.91
2026-07-14,信号真·风险取舍：方向同号 4/4 段(其中 3 段优势≥5pp；早段约3pp接近噪声、强度随期递增)；裸 overlay 让出 2.91pp 年化，换 Sharpe 0.94 vs 0.83、回撤 -29.5% vs -36.4%(浅 6.9pp)——但属单一历史路径、无置信区间，可能不重复。要风险调整收益的可参考，要最大绝对收益的死拿更好。已对照纳指自身20日动量(同口径差 9.4pp)：BTC 多给约 3.9pp 增量、不只是大盘动量代理,-2.91
2026-07-15,信号真·风险取舍：方向同号 4/4 段(其中 3 段优势≥5pp；早段约3pp接近噪声、强度随期递增)；裸 overlay 让出 2.9pp 年化，换 Sharpe 0.94 vs 0.83、回撤 -29.5% vs -36.4%(浅 6.9pp)——但属单一历史路径、无置信区间，可能不重复。要风险调整收益的可参考，要最大绝对收益的死拿更好。已对照纳指自身20日动量(同口径差 9.4pp)：BTC 多给约 3.9pp 增量、不只是大盘动量代理,-2.9
2026-07-16,信号真·风险取舍：方向同号 4/4 段(其中 3 段优势≥5pp；早段约3pp接近噪声、强度随期递增)；裸 overlay 让出 2.91pp 年化，换 Sharpe 0.94 vs 0.83、回撤 -29.5% vs -36.4%(浅 6.9pp)——但属单一历史路径、无置信区间，可能不重复。要风险调整收益的可参考，要最大绝对收益的死拿更好。已对照纳指自身20日动量(同口径差 9.4pp)：BTC 多给约 4.0pp 增量、不只是大盘动量代理,-2.91
2026-07-17,信号真·风险取舍：方向同号 4/4 段(其中 3 段优势≥5pp；早段约3pp接近噪声、强度随期递增)；裸 overlay 让出 2.9pp 年化，换 Sharpe 0.93 vs 0.82、回撤 -29.5% vs -36.4%(浅 6.9pp)——但属单一历史路径、无置信区间，可能不重复。要风险调整收益的可参考，要最大绝对收益的死拿更好。已对照纳指自身20日动量(同口径差 9.4pp)：BTC 多给约 4.0pp 增量、不只是大盘动量代理,-2.9
2026-07-20,信号真·风险取舍：方向同号 4/4 段(其中 3 段优势≥5pp；早段约3pp接近噪声、强度随期递增)；裸 overlay 让出 2.89pp 年化，换 Sharpe 0.93 vs 0.83、回撤 -29.5% vs -36.4%(浅 6.9pp)——但属单一历史路径、无置信区间，可能不重复。要风险调整收益的可参考，要最大绝对收益的死拿更好。已对照纳指自身20日动量(同口径差 9.4pp)：BTC 多给约 4.1pp 增量、不只是大盘动量代理,-2.89
2026-07-21,信号真·风险取舍：方向同号 4/4 段(其中 3 段优势≥5pp；早段约3pp接近噪声、强度随期递增)；裸 overlay 让出 2.9pp 年化，换 Sharpe 0.93 vs 0.83、回撤 -29.5% vs -36.4%(浅 6.9pp)——但属单一历史路径、无置信区间，可能不重复。要风险调整收益的可参考，要最大绝对收益的死拿更好。已对照纳指自身20日动量(同口径差 9.4pp)：BTC 多给约 4.2pp 增量、不只是大盘动量代理,-2.9
