sealed_at,ledger,n_rows,fields,core_fields,full_head,core_head,note
2026-07-02T11:55:11Z,autodiscovery_log.csv,434,date|candidate_id|key|family|verdict|p|recent_p,date|candidate_id|key|family|verdict|p|recent_p,8d052ecd84ba61835543585f4ec95806552464c0906b7355cb43b868a0ffd1f9,8d052ecd84ba61835543585f4ec95806552464c0906b7355cb43b868a0ffd1f9,
2026-07-02T11:55:11Z,candidate_registry.csv,80,candidate_id|family|key|declared_date|reason|reviewer,candidate_id|family|key|declared_date|reason|reviewer,900c82012367bb9f85aa5ef3b7bd606d14e4a7174638862d3b309b7e5d16196d,900c82012367bb9f85aa5ef3b7bd606d14e4a7174638862d3b309b7e5d16196d,
2026-07-02T11:55:11Z,composite_log.csv,8,date|stance|score,date|stance|score,44f0fe09b354b767e63511a360839c0bfde8748c0f725b2542644c748756ce26,44f0fe09b354b767e63511a360839c0bfde8748c0f725b2542644c748756ce26,
2026-07-02T11:55:11Z,regime_forward_log.csv,7,date|verdict,date|verdict,18dfa973ed8387beaabca62c53e558f2a52cd6163b020eab9643bcae351058b7,18dfa973ed8387beaabca62c53e558f2a52cd6163b020eab9643bcae351058b7,
2026-07-02T11:55:11Z,senate_signal_log.csv,1,date|n_tested|overall_excess_pct|dropped_pct,date|n_tested|overall_excess_pct|dropped_pct,eb9980341a25641d94de26ddb62259706b85c226753c383aa057b838917abb27,eb9980341a25641d94de26ddb62259706b85c226753c383aa057b838917abb27,
2026-07-02T11:55:11Z,btc_backtest_log.csv,7,date|verdict|excess_cagr_pp,date|verdict|excess_cagr_pp,cd3325324dfd504f92e37074baa4ce0de611289bfea759779ebad3973b291c22,cd3325324dfd504f92e37074baa4ce0de611289bfea759779ebad3973b291c22,
2026-07-02T11:55:11Z,llm_read_log.csv,6,date|stance|text,date|stance|text,dca6ac2ff92ee9fcad891a16f95694f5ef468c96d46546fd95dbc4507d058e3b,dca6ac2ff92ee9fcad891a16f95694f5ef468c96d46546fd95dbc4507d058e3b,
2026-07-02T11:55:11Z,llm_weekly_log.csv,1,week|stance_trend|text,week|stance_trend|text,27fa1359ebf1d786af2495d5c67b9a9ccfbbed006a3b2e176c8137ded9ec5946,27fa1359ebf1d786af2495d5c67b9a9ccfbbed006a3b2e176c8137ded9ec5946,
2026-07-02T11:55:11Z,llm_monthly_log.csv,1,month|n_days|text,month|n_days|text,8d0b6e397b5d15992581e4e90926b46532d2c2555a96cb7531463555f6bf1f54,8d0b6e397b5d15992581e4e90926b46532d2c2555a96cb7531463555f6bf1f54,
2026-07-02T11:55:11Z,llm_prediction_log.csv,2,pred_date|symbol|direction|confidence|reason|horizon_td|entry_date|entry_px|exit_date|exit_px|ret_pct|bucket|hit|settled|dropped,pred_date|symbol|direction|confidence|reason|horizon_td,af362f163f52e0e0dfd6c2f53d63ec4d95dd8f6dacc50bcc76131ff4be61dad5,ca443769535429e7c21559fe0b1135a9bb7554427944c662401b52431a2bd881,
2026-07-02T11:55:11Z,pick_ledger.csv,29,pick_date|symbol|view|mom_pct|entry_date|entry_px|exit_date|exit_px|ret_pct|bench_pct|excess_pct|call_excess_pct|hit|settled|dropped,pick_date|symbol|view|mom_pct,5614457cea55a4c5bfdaf250d48e8b2529c1434a6bae829c1eefbcf5eb89abb7,17853e2a5b5119d4e30823532481ea0585f012f9dd5f56cd2eb901656f5db9d2,
2026-07-02T11:55:11Z,insider_signal_log.csv,33,filed_date|ticker|insider|title|txn_date|shares|value|entry_date|entry_px|exit_date|exit_px|fwd_pct|spy_pct|excess_pct|hit|settled|dropped,filed_date|ticker|insider|title|txn_date|shares|value,e684ae23a51880dd7f47238f9fa00f22162f0d05d41376c3dc419d07ce356e09,8f14c603ec0f93793b660070b592887f461394a7648e3e8bc571c3ec47ec90a7,
2026-07-02T20:40:07Z,autodiscovery_log.csv,514,date|candidate_id|key|family|verdict|p|recent_p,date|candidate_id|key|family|verdict|p|recent_p,42a3fe49261ab6c9d43ac984a5a37974c578a321e7b7e57ab80c46373dc3f60a,42a3fe49261ab6c9d43ac984a5a37974c578a321e7b7e57ab80c46373dc3f60a,
2026-07-02T20:40:07Z,composite_log.csv,9,date|stance|score,date|stance|score,557bf28d422a29a4ef4f937278b8183c8bb2592c1aa5454207e62f888598a2a3,557bf28d422a29a4ef4f937278b8183c8bb2592c1aa5454207e62f888598a2a3,
2026-07-02T20:40:07Z,regime_forward_log.csv,8,date|verdict,date|verdict,5833f62af8e70367df3586e9e9d66f0b89dca133af34bf81cf099bb1f634a270,5833f62af8e70367df3586e9e9d66f0b89dca133af34bf81cf099bb1f634a270,
2026-07-02T20:40:07Z,btc_backtest_log.csv,8,date|verdict|excess_cagr_pp,date|verdict|excess_cagr_pp,10e32f6813ad0860b04e01bb36b030533afe32df147c0dae8c2ca5f9a7f31114,10e32f6813ad0860b04e01bb36b030533afe32df147c0dae8c2ca5f9a7f31114,
2026-07-02T20:40:07Z,llm_prediction_log.csv,3,pred_date|symbol|direction|confidence|reason|horizon_td|entry_date|entry_px|exit_date|exit_px|ret_pct|bucket|hit|settled|dropped,pred_date|symbol|direction|confidence|reason|horizon_td,96467846f0b4f32a639dc5f58e5d11e60937e3367a7411469efdd672b41d055c,9a55af04cf03b1c371b7d49d0758c884f59e4bb311c0f1e2cf9df1a2bbc6e370,
2026-07-02T20:40:07Z,pick_ledger.csv,35,pick_date|symbol|view|mom_pct|entry_date|entry_px|exit_date|exit_px|ret_pct|bench_pct|excess_pct|call_excess_pct|hit|settled|dropped,pick_date|symbol|view|mom_pct,2d8fefd74b68a6bf673f5cd73902cf143e96a22cfa75d9c0cf2010a182f2fbad,d3aef5400bf88ab4b29d3484299c9e4cc89b555fc2229b441e80cc709c9eef84,
